name,total,lat,lng
경북크랑크,39,35.82884,128.50743
경상감영공원건너,5900,35.8727,128.59437
경상감영공원앞,24187,35.87377,128.5945
경상여자고등학교건너,121,35.90102,128.58774
경상여자고등학교앞,2022,35.90095,128.58737
경서중학교건너,388,35.7811,128.43409
경서중학교앞,382,35.781,128.43414
경신고등학교건너,3111,35.85893,128.63726
경신고등학교앞,6748,35.85869,128.63775
경운초등학교건너,330,35.86316,128.55381
경운초등학교앞,488,35.86296,128.55304
경원고등학교건너,45,35.86441,128.52525
경원고등학교앞,5,35.86477,128.52583
경일여자중학교건너,957,35.83769,128.59899
경일여자중학교앞,1576,35.83742,128.59898
경진초등학교건너,4575,35.89039,128.61909
경진초등학교앞,599,35.89067,128.61938
경진테크빌앞,672,35.87488,128.58778
경창산업,103,35.83335,128.50715
경희강재건너,103,35.83655,128.51661
계명대대명캠퍼스후문건너,484,35.85165,128.57985
계명대역(1번출구),1060,35.85184,128.49014
계명대역(2번출구),2957,35.85169,128.48864
계명대학교대명캠퍼스건너,2051,35.85768,128.58001
계명대학교대명캠퍼스앞,3078,35.85711,128.58085
계명대학교대명캠퍼스후문앞,396,35.85188,128.58038
계명대학교동문건너1,464,35.85663,128.49228
계명대학교동문건너2,5820,35.85422,128.49223
계명대학교동문앞,2548,35.85438,128.49185
계명대학교동산병원건너,534,35.85252,128.48169
계명대학교정문건너,960,35.85225,128.48485
계명대학교정문앞,1140,35.8526,128.48495
계명문화대학건너,694,35.85872,128.4922
계명문화대학앞,6733,35.85852,128.49191
고래들공원건너,1,35.69533,128.45162
고모동입구,3162,35.84682,128.6737
고모역건너,38,35.85816,128.67818
고산2동행정복지센터건너,2737,35.84274,128.69509
고산2동행정복지센터앞,409,35.84311,128.69464
고산골입구,322,35.83421,128.60244
고산농협창고건너,155,35.84267,128.68947
고산농협창고앞,2014,35.84244,128.6897
고산도서관,4161,35.83834,128.7109
고산정수사업소건너,152,35.83159,128.69881
고성아파트(서편),1942,35.88058,128.58058
고성아파트건너(서편),920,35.88044,128.5803
고성아파트앞,81,35.88,128.58182
고성지구대1,393,35.87934,128.589
고성지구대2,952,35.87946,128.58886
골안골지하보도앞,25,35.83118,128.57055
공고네거리1,4697,35.88161,128.61597
공고네거리2,1503,35.88141,128.61595
공군기지관사입구,15,35.90095,128.67418
공단역1,6704,35.89166,128.55405
공단역2,2841,35.89163,128.55375
공단하수처리장건너,267,35.72343,128.43808
공단하수처리장앞,3,35.72369,128.43849
공산댐건너,5,35.94492,128.64692
공산동행정복지센터건너,474,35.93988,128.64571
공산동행정복지센터앞,18,35.94004,128.64552
공산초등학교건너,38,35.95608,128.69206
공산초등학교앞,5,35.95615,128.69194
공산파출소,68,35.9797,128.63393
공항시장건너,407,35.89686,128.63784
공항시장앞,1653,35.89659,128.63788
과학마을청아람앞,96,35.65503,128.41765
곽병원건너,9452,35.87029,128.58967
곽병원앞1,3406,35.87041,128.58964
곽병원앞2,1521,35.87035,128.58928
관리공단,96,35.72915,128.46079
관음농협앞,124,35.93871,128.5444
관음동행정복지센터건너,77,35.94501,128.54689
관음동행정복지센터앞,68,35.94481,128.54643
관음변전소2,279,35.94247,128.5425
관음중학교(북편),74,35.94274,128.54493
광명프레지던트아파트건너,2094,35.83917,128.61207
광장타운건너,1616,35.85586,128.55272
광장타운앞,1540,35.85578,128.5515
교대부설초등학교건너,166,35.80586,128.53151
교대부설초등학교앞,629,35.80537,128.53177
교동시장앞,499,35.87416,128.59938
교동초등학교건너,66,35.94511,128.54858
교동초등학교앞,82,35.94504,128.54856
교통연수원,267,35.83019,128.62987
교통연수원건너,525,35.82987,128.63062
교항2리마을입구,36,35.78514,128.44657
교항리앞,789,35.78386,128.44909
구)대영학원건너,1662,35.86651,128.57097
구)대영학원앞,3233,35.86781,128.57089
구.남부정류장건너1,6094,35.85811,128.64754
구.남부정류장건너2,4189,35.85755,128.64862
구.남부정류장앞1,2697,35.85802,128.64829
구.남부정류장앞2,1082,35.85779,128.64876
구.동부정류장(남편),338,nan,nan
구.동부정류장(메트로팔레스),2287,35.87013,128.63294
구.동부정류장건너,599,nan,nan
구.동부정류장앞,2724,nan,nan
구병원건너,2491,35.85221,128.54204
구병원앞,1922,35.85165,128.54174
구삼폭포건너,9,35.77157,128.58064
구암가구골목1,142,35.92533,128.55574
구암가구골목2,163,35.92578,128.55672
구암교1,375,35.92549,128.54869
구암교2,495,35.92549,128.54852
구암동2,102,35.95444,128.67969
구암역(운전면허시험장)1,219,35.92525,128.55144
구암역(운전면허시험장)2,189,35.92512,128.55143
구암초등학교건너,92,35.9277,128.55901
구암초등학교앞,49,35.92702,128.5579
구지면사무소건너,292,35.65903,128.4132
구지면사무소앞,0,35.65897,128.41327
국가물산업클러스터건너,80,35.64681,128.41749
국가물산업클러스터앞,151,35.64676,128.4178
국립대구과학관정문건너,49,35.68527,128.46643
국립대구과학관정문앞,174,35.68534,128.46624
국립대구박물관건너,683,35.84666,128.63926
국립대구박물관앞,2475,35.8471,128.63924
국립신암선열공원건너,3616,35.88917,128.62812
국립신암선열공원앞,739,35.88888,128.62891
국민건강보험공단건너,1019,35.85653,128.55823
국민건강보험공단앞,4073,35.85576,128.5591
국민연금네거리,883,35.85524,128.50892
국민연금네거리1,924,35.85543,128.50822
국민은행3공단지점건너,339,35.89663,128.57443
국민은행3공단지점앞,249,35.89743,128.57569
국우동현대아파트건너2,104,35.9491,128.5802
국우동현대아파트앞,130,35.94782,128.57987
국채보상운동기념공원,1919,35.86826,128.60384
굿모닝병원건너,2460,35.85436,128.57392
굿모닝병원앞,1665,35.85328,128.57391
그랜드호텔건너,4964,35.8572,128.6261
그랜드호텔앞,5435,35.85719,128.62559
그린빌4단지,652,35.9366,128.56534
그린빌4단지앞,41,35.93766,128.56755
근로복지공단대구병원건너,669,35.95101,128.56531
근로복지공단대구병원앞,246,35.9509,128.56513
근린공원축구장건너,149,35.63972,128.41883
근린공원축구장앞,67,35.64095,128.41791
금강동,1,35.85911,128.73638
금계초등학교(교항리),25,35.78941,128.44426
금복주건너,140,35.84176,128.5071
금복주앞,323,35.84286,128.50741
금봉네거리1,489,35.84337,128.55201
금봉네거리2,451,35.84272,128.55294
금사리하이빌APT건너,41,35.88403,128.65616
금사리하이빌APT앞,107,35.88392,128.6568
금융감독원건너,1017,35.84187,128.61228
금포1교3,107,35.77193,128.42451
금포새터길2,27,35.77299,128.42654
금포초등학교,107,35.77579,128.42428
금포초등학교건너,303,35.77578,128.42381
금호119안전센터앞,165,35.89627,128.5218
금호기전,42,35.84107,128.47798
금호천년나무1단지건너,133,35.89715,128.51487
금호천년나무1단지동편,232,35.8988,128.51642
금호천년나무1단지동편건너,1206,35.8976,128.51713
금호천년나무8단지앞,88,35.89775,128.50948
기독교방송국건너,767,nan,nan
기독교방송국앞,887,nan,nan
기업은행대곡지점건너,2577,35.80807,128.53581
기업은행대곡지점앞,211,35.80841,128.536
기업은행죽전동지점건너,312,35.85719,128.53725
기업은행죽전동지점앞,433,35.85643,128.53753
나불지건너,90,35.87827,128.71887
나불지앞,393,35.87845,128.71914
남구종합스포츠타운건너,110,35.83282,128.59789
남구종합스포츠타운앞,57,35.83259,128.5978
남구청건너1,21,35.84615,128.5985
남구청건너2,3696,35.84481,128.59733
남구청네거리1,880,35.84482,128.59979
남구청네거리2,99,35.84474,128.59949
남구청앞,192,35.84616,128.5983
남대구IC1,487,35.83722,128.53434
남대구IC2,414,35.83743,128.53302
남도버스2,552,35.8082,128.52741
남명삼거리1,197,35.83554,128.5787
남명삼거리2,120,35.83552,128.57785
남문시장건너2,6349,35.85956,128.59206
남문시장앞,9035,35.86038,128.59215
남부경찰서앞,3262,35.84314,128.58591
남부교육지원청건너,395,35.83385,128.54636
남부교육지원청앞,644,35.83392,128.5476
남부도서관앞,184,35.83284,128.58134
남부자동차종합시장건너,495,35.8367,128.52298
남부자동차종합시장앞,56,35.8369,128.52308
남부초등학교건너,17,35.84465,128.5524
남부초등학교앞,112,35.84495,128.55219
남부초등학교앞2,555,35.8435,128.54959
남산2동주민센터건너,10,35.86489,128.58854
남산2동주민센터앞,8,35.86406,128.58913
남산고등학교앞,24,35.85833,128.6085
남산역(프린스호텔건너),1704,35.85654,128.58487
남산역건너(프린스호텔앞),3102,35.85633,128.58397
남산주유소건너,590,nan,nan
남산주유소앞,210,nan,nan
남산초등학교건너,1083,35.86273,128.5824
남산초등학교앞,1989,35.86239,128.58254
남해오네뜨2차앞,5,35.69371,128.46565
내곡동마을회관,0,35.88666,128.75908
내당1동우체국건너,174,35.86546,128.56265
내당1동우체국앞,188,35.86517,128.56227
내당광명아파트,1140,35.8605,128.54637
내당삼익맨션건너,3574,35.86052,128.55685
내당삼익맨션앞,6434,35.86029,128.55667
내당코오롱아파트건너,3181,35.85827,128.54692
내당코오롱아파트앞,745,35.8584,128.54698
내동,3,35.95699,128.66495
내동건너,46,35.9558,128.66563
내리1,0,35.64113,128.40666
내일교회건너,11,35.83888,128.5158
냉천리1,14,35.78276,128.64377
냉천리2,38,35.78196,128.64371
노곡교1,182,35.90054,128.56637
노곡동,2188,35.90566,128.56337
노변중학교,109,35.83839,128.69499
노변중학교건너,75,35.83848,128.69505
노변청구타운건너,121,35.84111,128.69246
노변청구타운앞,31,35.84105,128.69262
노원119안전센터건너,1266,35.89227,128.56656
노원119안전센터앞,392,35.89221,128.56696
노원네거리(대구은행건너),60,35.90024,128.57931
노원네거리(대구은행앞),117,35.90045,128.57919
노원네거리1(오봉새마을금고앞),230,35.89982,128.58035
노원네거리2(오봉새마을금고건너),230,35.8996,128.58044
노원네거리4(기업은행),98,35.89845,128.57917
노원동화타운건너,216,35.89131,128.57704
노원동화타운앞,121,35.89145,128.57704
녹원맨션1,484,35.8717,128.72868
녹원맨션2,428,35.87178,128.72957
논공삼거리2,238,35.72662,128.43564
논공읍사무소,71,35.77384,128.42018
논공읍사무소건너1,221,35.77443,128.42152
논공읍사무소건너2,49,35.77351,128.41982
농산물도매시장건너,147,35.90425,128.54231
농산물도매시장앞,100,35.90421,128.54168
농수산물도매시장건너,371,35.90423,128.54702
농수산물도매시장앞,3525,35.90316,128.54661
농협동촌지점,89,35.88438,128.65363
농협방촌지점,51,35.88219,128.66561
