,Unnamed: 0,lat,lon,value
0,0,35.9681,128.4651,5
1,1,35.9681,128.4751,14
2,2,35.9681,128.4851,52
3,3,35.9681,128.4951,5
4,4,35.9681,128.5051,0
5,5,35.9681,128.5151,0
6,6,35.9681,128.5251,1
7,7,35.9681,128.5351,2
8,8,35.9681,128.5451,63
9,9,35.9681,128.5551,250
10,10,35.9681,128.5651,30
11,11,35.9681,128.5751,35
12,12,35.9681,128.5851,13
13,13,35.9681,128.5951,3
14,14,35.9681,128.6051,1
15,15,35.9681,128.6151,0
16,16,35.9681,128.6251,22
17,17,35.9681,128.6351,0
18,18,35.9681,128.6451,1
19,19,35.9681,128.6551,13
20,20,35.9681,128.6651,27
21,21,35.9681,128.6751,47
22,22,35.9681,128.6851,2
23,23,35.9681,128.6951,20
24,24,35.9681,128.7051,6
25,25,35.9681,128.7151,0
26,26,35.9681,128.7251,24
27,27,35.9681,128.7351,9
28,28,35.9681,128.7451,11
29,29,35.9681,128.7551,0
30,30,35.9581,128.4651,6
31,31,35.9581,128.4751,55
32,32,35.9581,128.4851,89
33,33,35.9581,128.4951,7
34,34,35.9581,128.5051,3
35,35,35.9581,128.5151,0
36,36,35.9581,128.5251,8
37,37,35.9581,128.5351,13
38,38,35.9581,128.5451,5168
39,39,35.9581,128.5551,2354
40,40,35.9581,128.5651,6178
41,41,35.9581,128.5751,2565
42,42,35.9581,128.5851,3
43,43,35.9581,128.5951,0
44,44,35.9581,128.6051,17
45,45,35.9581,128.6151,1
46,46,35.9581,128.6251,11
47,47,35.9581,128.6351,1
48,48,35.9581,128.6451,44
49,49,35.9581,128.6551,14
50,50,35.9581,128.6651,54
51,51,35.9581,128.6751,26
52,52,35.9581,128.6851,125
53,53,35.9581,128.6951,12
54,54,35.9581,128.7051,14
55,55,35.9581,128.7151,6
56,56,35.9581,128.7251,2
57,57,35.9581,128.7351,0
58,58,35.9581,128.7451,1
59,59,35.9581,128.7551,0
60,60,35.9481,128.4651,9
61,61,35.9481,128.4751,0
62,62,35.9481,128.4851,14
63,63,35.9481,128.4951,1
64,64,35.9481,128.5051,4
65,65,35.9481,128.5151,0
66,66,35.9481,128.5251,12
67,67,35.9481,128.5351,3434
68,68,35.9481,128.5451,13615
69,69,35.9481,128.5551,24631
70,70,35.9481,128.5651,10791
71,71,35.9481,128.5751,1434
72,72,35.9481,128.5851,30
73,73,35.9481,128.5951,8
74,74,35.9481,128.6051,30
75,75,35.9481,128.6151,645
76,76,35.9481,128.6251,122
77,77,35.9481,128.6351,3254
78,78,35.9481,128.6451,684
79,79,35.9481,128.6551,0
80,80,35.9481,128.6651,0
81,81,35.9481,128.6751,0
82,82,35.9481,128.6851,1
83,83,35.9481,128.6951,1
84,84,35.9481,128.7051,0
85,85,35.9481,128.7151,0
86,86,35.9481,128.7251,1
87,87,35.9481,128.7351,0
88,88,35.9481,128.7451,0
89,89,35.9481,128.7551,0
90,90,35.9381,128.4651,15
91,91,35.9381,128.4751,4
92,92,35.9381,128.4851,13
93,93,35.9381,128.4951,1
94,94,35.9381,128.5051,8
95,95,35.9381,128.5151,50
96,96,35.9381,128.5251,49
97,97,35.9381,128.5351,9192
98,98,35.9381,128.5451,15285
99,99,35.9381,128.5551,20278
100,100,35.9381,128.5651,3983
101,101,35.9381,128.5751,1
102,102,35.9381,128.5851,46
103,103,35.9381,128.5951,193
104,104,35.9381,128.6051,12
105,105,35.9381,128.6151,3
106,106,35.9381,128.6251,115
107,107,35.9381,128.6351,628
108,108,35.9381,128.6451,29
109,109,35.9381,128.6551,0
110,110,35.9381,128.6651,9
111,111,35.9381,128.6751,2
112,112,35.9381,128.6851,37
113,113,35.9381,128.6951,4
114,114,35.9381,128.7051,7
115,115,35.9381,128.7151,0
116,116,35.9381,128.7251,0
117,117,35.9381,128.7351,0
118,118,35.9381,128.7451,0
119,119,35.9381,128.7551,0
120,120,35.9281,128.4651,0
121,121,35.9281,128.4751,6
122,122,35.9281,128.4851,19
123,123,35.9281,128.4951,1
124,124,35.9281,128.5051,2
125,125,35.9281,128.5151,37
126,126,35.9281,128.5251,1
127,127,35.9281,128.5351,9873
128,128,35.9281,128.5451,16396
129,129,35.9281,128.5551,1286
130,130,35.9281,128.5651,0
131,131,35.9281,128.5751,1
132,132,35.9281,128.5851,311
133,133,35.9281,128.5951,12148
134,134,35.9281,128.6051,249
135,135,35.9281,128.6151,2
136,136,35.9281,128.6251,34
137,137,35.9281,128.6351,7586
138,138,35.9281,128.6451,48
139,139,35.9281,128.6551,58
140,140,35.9281,128.6651,6
141,141,35.9281,128.6751,0
142,142,35.9281,128.6851,0
143,143,35.9281,128.6951,0
144,144,35.9281,128.7051,0
145,145,35.9281,128.7151,0
146,146,35.9281,128.7251,0
147,147,35.9281,128.7351,0
148,148,35.9281,128.7451,0
149,149,35.9281,128.7551,2
150,150,35.9181,128.4651,1
151,151,35.9181,128.4751,4
152,152,35.9181,128.4851,24
153,153,35.9181,128.4951,32
154,154,35.9181,128.5051,22
155,155,35.9181,128.5151,13
156,156,35.9181,128.5251,7
157,157,35.9181,128.5351,5144
158,158,35.9181,128.5451,10135
159,159,35.9181,128.5551,204
160,160,35.9181,128.5651,42
161,161,35.9181,128.5751,1223
162,162,35.9181,128.5851,64
163,163,35.9181,128.5951,5933
164,164,35.9181,128.6051,422
165,165,35.9181,128.6151,751
166,166,35.9181,128.6251,2539
167,167,35.9181,128.6351,5151
168,168,35.9181,128.6451,1416
169,169,35.9181,128.6551,53
170,170,35.9181,128.6651,3
171,171,35.9181,128.6751,0
172,172,35.9181,128.6851,0
173,173,35.9181,128.6951,0
174,174,35.9181,128.7051,0
175,175,35.9181,128.7151,20
176,176,35.9181,128.7251,0
177,177,35.9181,128.7351,0
178,178,35.9181,128.7451,0
179,179,35.9181,128.7551,1
180,180,35.9081,128.4651,0
181,181,35.9081,128.4751,1
182,182,35.9081,128.4851,23
183,183,35.9081,128.4951,17
184,184,35.9081,128.5051,5807
185,185,35.9081,128.5151,400
186,186,35.9081,128.5251,31
187,187,35.9081,128.5351,9470
188,188,35.9081,128.5451,3198
189,189,35.9081,128.5551,751
190,190,35.9081,128.5651,262
191,191,35.9081,128.5751,794
192,192,35.9081,128.5851,2599
193,193,35.9081,128.5951,5068
194,194,35.9081,128.6051,13440
195,195,35.9081,128.6151,15368
196,196,35.9081,128.6251,2546
197,197,35.9081,128.6351,3790
198,198,35.9081,128.6451,2
199,199,35.9081,128.6551,0
200,200,35.9081,128.6651,661
201,201,35.9081,128.6751,22
202,202,35.9081,128.6851,34
203,203,35.9081,128.6951,0
204,204,35.9081,128.7051,17
205,205,35.9081,128.7151,5
206,206,35.9081,128.7251,0
207,207,35.9081,128.7351,0
208,208,35.9081,128.7451,0
209,209,35.9081,128.7551,0
210,210,35.8981,128.4651,69
211,211,35.8981,128.4751,20
212,212,35.8981,128.4851,3
213,213,35.8981,128.4951,26
214,214,35.8981,128.5051,2080
215,215,35.8981,128.5151,2381
216,216,35.8981,128.5251,53
217,217,35.8981,128.5351,1321
218,218,35.8981,128.5451,1214
219,219,35.8981,128.5551,6062
220,220,35.8981,128.5651,13723
221,221,35.8981,128.5751,7134
222,222,35.8981,128.5851,18812
223,223,35.8981,128.5951,9489
224,224,35.8981,128.6051,29866
225,225,35.8981,128.6151,24005
226,226,35.8981,128.6251,6983
227,227,35.8981,128.6351,14330
228,228,35.8981,128.6451,7068
229,229,35.8981,128.6551,30
230,230,35.8981,128.6651,256
231,231,35.8981,128.6751,213
232,232,35.8981,128.6851,9
233,233,35.8981,128.6951,33
234,234,35.8981,128.7051,144
235,235,35.8981,128.7151,589
236,236,35.8981,128.7251,0
237,237,35.8981,128.7351,0
238,238,35.8981,128.7451,0
239,239,35.8981,128.7551,1
240,240,35.8881,128.4651,118
241,241,35.8881,128.4751,148
242,242,35.8881,128.4851,25
243,243,35.8881,128.4951,187
244,244,35.8881,128.5051,18
245,245,35.8881,128.5151,7
246,246,35.8881,128.5251,925
247,247,35.8881,128.5351,565
248,248,35.8881,128.5451,4019
249,249,35.8881,128.5551,22103
250,250,35.8881,128.5651,26621
251,251,35.8881,128.5751,16739
252,252,35.8881,128.5851,25142
253,253,35.8881,128.5951,15363
254,254,35.8881,128.6051,23444
255,255,35.8881,128.6151,20456
256,256,35.8881,128.6251,45147
257,257,35.8881,128.6351,19023
258,258,35.8881,128.6451,11214
259,259,35.8881,128.6551,10328
260,260,35.8881,128.6651,8106
261,261,35.8881,128.6751,684
262,262,35.8881,128.6851,254
263,263,35.8881,128.6951,221
264,264,35.8881,128.7051,1811
265,265,35.8881,128.7151,3013
266,266,35.8881,128.7251,716
267,267,35.8881,128.7351,385
268,268,35.8881,128.7451,628
269,269,35.8881,128.7551,16
270,270,35.8781,128.4651,817
271,271,35.8781,128.4751,8143
272,272,35.8781,128.4851,3951
273,273,35.8781,128.4951,9933
274,274,35.8781,128.5051,0
275,275,35.8781,128.5151,9
276,276,35.8781,128.5251,1056
277,277,35.8781,128.5351,941
278,278,35.8781,128.5451,16662
279,279,35.8781,128.5551,25096
280,280,35.8781,128.5651,33332
281,281,35.8781,128.5751,11171
282,282,35.8781,128.5851,25103
283,283,35.8781,128.5951,36675
284,284,35.8781,128.6051,20555
285,285,35.8781,128.6151,20923
286,286,35.8781,128.6251,47758
287,287,35.8781,128.6351,20076
288,288,35.8781,128.6451,6063
289,289,35.8781,128.6551,3204
290,290,35.8781,128.6651,6557
291,291,35.8781,128.6751,3943
292,292,35.8781,128.6851,6027
293,293,35.8781,128.6951,6626
294,294,35.8781,128.7051,7551
295,295,35.8781,128.7151,5154
296,296,35.8781,128.7251,7774
297,297,35.8781,128.7351,424
298,298,35.8781,128.7451,2848
299,299,35.8781,128.7551,133
300,300,35.8681,128.4651,4095
301,301,35.8681,128.4751,3
302,302,35.8681,128.4851,5742
303,303,35.8681,128.4951,7548
304,304,35.8681,128.5051,7578
305,305,35.8681,128.5151,9639
306,306,35.8681,128.5251,11396
307,307,35.8681,128.5351,7083
308,308,35.8681,128.5451,23240
309,309,35.8681,128.5551,40663
310,310,35.8681,128.5651,28176
311,311,35.8681,128.5751,22877
312,312,35.8681,128.5851,18843
313,313,35.8681,128.5951,70517
314,314,35.8681,128.6051,24028
315,315,35.8681,128.6151,38876
316,316,35.8681,128.6251,19016
317,317,35.8681,128.6351,17838
318,318,35.8681,128.6451,6536
319,319,35.8681,128.6551,10
320,320,35.8681,128.6651,39
321,321,35.8681,128.6751,27
322,322,35.8681,128.6851,5118
323,323,35.8681,128.6951,12000
324,324,35.8681,128.7051,2152
325,325,35.8681,128.7151,3939
326,326,35.8681,128.7251,2949
327,327,35.8681,128.7351,52
328,328,35.8681,128.7451,1
329,329,35.8681,128.7551,0
330,330,35.8581,128.4651,7240
331,331,35.8581,128.4751,12250
332,332,35.8581,128.4851,17993
333,333,35.8581,128.4951,23989
334,334,35.8581,128.5051,22901
335,335,35.8581,128.5151,21145
336,336,35.8581,128.5251,27753
337,337,35.8581,128.5351,29014
338,338,35.8581,128.5451,40397
339,339,35.8581,128.5551,10836
340,340,35.8581,128.5651,18380
341,341,35.8581,128.5751,24832
342,342,35.8581,128.5851,18602
343,343,35.8581,128.5951,13010
344,344,35.8581,128.6051,21595
345,345,35.8581,128.6151,21522
346,346,35.8581,128.6251,11587
347,347,35.8581,128.6351,10693
348,348,35.8581,128.6451,9401
349,349,35.8581,128.6551,2859
350,350,35.8581,128.6651,164
351,351,35.8581,128.6751,172
352,352,35.8581,128.6851,61
353,353,35.8581,128.6951,14
354,354,35.8581,128.7051,22
355,355,35.8581,128.7151,71
356,356,35.8581,128.7251,4
357,357,35.8581,128.7351,22
358,358,35.8581,128.7451,1
359,359,35.8581,128.7551,20
360,360,35.8481,128.4651,603
361,361,35.8481,128.4751,349
362,362,35.8481,128.4851,10741
363,363,35.8481,128.4951,611
364,364,35.8481,128.5051,839
365,365,35.8481,128.5151,1027
366,366,35.8481,128.5251,29814
367,367,35.8481,128.5351,35216
368,368,35.8481,128.5451,16276
369,369,35.8481,128.5551,12043
370,370,35.8481,128.5651,29763
371,371,35.8481,128.5751,29416
372,372,35.8481,128.5851,27201
373,373,35.8481,128.5951,31221
374,374,35.8481,128.6051,17135
375,375,35.8481,128.6151,45652
376,376,35.8481,128.6251,9771
377,377,35.8481,128.6351,8292
378,378,35.8481,128.6451,638
379,379,35.8481,128.6551,7
380,380,35.8481,128.6651,1073
381,381,35.8481,128.6751,136
382,382,35.8481,128.6851,3590
383,383,35.8481,128.6951,7579
384,384,35.8481,128.7051,9870
385,385,35.8481,128.7151,2080
386,386,35.8481,128.7251,657
387,387,35.8481,128.7351,15
388,388,35.8481,128.7451,1666
389,389,35.8481,128.7551,2277
390,390,35.8381,128.4651,0
391,391,35.8381,128.4751,44
392,392,35.8381,128.4851,1656
393,393,35.8381,128.4951,956
394,394,35.8381,128.5051,663
395,395,35.8381,128.5151,1181
396,396,35.8381,128.5251,22984
397,397,35.8381,128.5351,13899
398,398,35.8381,128.5451,29093
399,399,35.8381,128.5551,24655
