START_X,START_Y,ARRIVE_X,ARRIVE_Y
START_X,START_,ARRIVE_X,ARRIVE_
35.94256,128.562863,35.855793,128.547588
35.825766,128.62521,35.829548,128.734976
35.817025,128.52248,35.853608,128.480621
35.808406,128.54516,35.803238,128.493755
35.844656,128.54456,35.830705,128.546111
35.941906,128.57018,35.926963,128.559258
35.827008,128.718,35.836973,128.716281
35.859141,128.49961,35.840221,128.566123
35.80791,128.520131,35.8529,128.480556
35.807748,128.51961,35.823531,128.64131
35.931258,128.54299,35.88916,128.566488
35.88453,128.585238,35.900233,128.596438
35.83754,128.541226,35.81528,128.540705
35.821338,128.64017,35.92147,128.545736
35.85873,128.531348,35.857361,128.545313
35.915521,128.54854,35.924029,128.545241
35.82408,128.525433,35.799118,128.531033
35.810348,128.53255,35.816633,128.524218
35.853825,128.50494,35.783655,128.448911
35.783621,128.44894,35.794488,128.466066
35.843571,128.53536,35.83666,128.557396
35.93347,128.544496,35.944416,128.566844
35.940234,128.54578,35.942694,128.561008
35.935884,128.54308,35.943283,128.560751
35.817036,128.52255,35.810636,128.539225
35.81794,128.516323,35.85303,128.474085
35.8543,128.502455,35.839008,128.489295
35.846185,128.58080,35.840158,128.619343
35.837936,128.53070,35.836896,128.522716
35.936286,128.56679,35.91755,128.601538
35.94296,128.559993,35.918645,128.551871
35.937131,128.55733,35.925876,128.54466
35.937196,128.55823,35.922781,128.549254
35.925145,128.55144,35.95448,128.552032
35.852013,128.47794,35.85239,128.477171
35.945178,128.54768,35.93165,128.561645
35.852433,128.50495,35.856168,128.51551
35.85424,128.502996,35.838378,128.530511
35.830016,128.62068,35.851486,128.68545
35.837231,128.53308,35.844121,128.548606
35.931966,128.55667,35.821132,128.52943
35.852158,128.49219,35.875101,128.495783
35.874188,128.49723,35.858936,128.50288
35.855493,128.49705,35.85424,128.505943
35.93166,128.561643,35.918261,128.601178
35.942733,128.56175,35.93147,128.5609
35.854278,128.50272,35.904766,128.608955
35.844835,128.61681,35.843143,128.616783
35.817928,128.53877,35.825351,128.527381
35.869716,128.64829,35.871986,128.700226
35.874193,128.68901,35.87581,128.68343
35.863006,128.57616,35.862241,128.569876
35.860393,128.60081,35.842893,128.614316
35.943615,128.55820,35.932238,128.552401
35.931733,128.55553,35.883118,128.661405
35.854977,128.58614,35.875925,128.590963
35.884523,128.58525,35.892009,128.571372
35.857915,128.49381,35.90228,128.617701
35.808471,128.54528,35.80861,128.531051
35.940008,128.56996,35.879721,128.629695
35.877348,128.62964,35.85637,128.584361
35.870115,128.57105,35.870878,128.571033
35.881343,128.58143,35.860891,128.629416
35.870503,128.58104,35.848751,128.569733
35.826655,128.51489,35.810173,128.506563
35.887813,128.65358,35.897696,128.632338
35.899656,128.61911,35.859043,128.644538
35.835308,128.61984,35.819958,128.629031
35.82521,128.621726,35.851801,128.537156
35.886396,128.60206,35.847633,128.604294
35.925477,128.54822,35.917955,128.551848
35.823223,128.53265,35.826991,128.543781
35.810706,128.54632,35.853321,128.545655
35.817143,128.53238,35.802716,128.492551
35.866438,128.56689,35.833676,128.621706
35.851443,128.61689,35.891921,128.605841
35.838986,128.57646,35.825108,128.635571
35.804236,128.49996,35.85181,128.515706
35.855325,128.50480,35.859306,128.499556
35.858416,128.64688,35.838303,128.7225
35.83814,128.536988,35.698768,128.46896
35.840786,128.62398,35.875643,128.495628
35.83695,128.554231,35.810435,128.550075
35.869001,128.55513,35.936614,128.562068
35.866683,128.59991,35.854781,128.611208
35.942551,128.5625,35.929131,128.556763
35.842155,128.53075,35.871425,128.55497
35.830196,128.61095,35.839781,128.62173
35.864625,128.59840,35.843781,128.587475
35.896577,128.62457,35.866967,128.696524
35.866967,128.69652,35.842852,128.594547
35.860025,128.49638,35.854485,128.50979
35.856061,128.55897,35.869471,128.555228
35.837601,128.72285,35.835096,128.711696
35.838985,128.57603,35.842425,128.611753
35.834191,128.62339,35.835016,128.62356
35.93686,128.561655,35.932983,128.547525
35.943696,128.55825,35.947958,128.574888
35.866146,128.60001,35.860103,128.565298
35.943048,128.54262,35.947945,128.55351
35.858058,128.53085,35.865475,128.527526
35.866591,128.59995,35.842086,128.532235
35.84245,128.579852,35.842433,128.579902
35.842607,128.57787,35.866896,128.599956
35.691531,128.45264,35.695153,128.445158
