,lat,lon,value
0,35.9681,128.4651,4.4
1,35.9681,128.4751,9.799999999999999
2,35.9681,128.4851,37.3
3,35.9681,128.4951,3.5
4,35.9681,128.5051,0.3
5,35.9681,128.5151,0.0
6,35.9681,128.5251,0.7
7,35.9681,128.5351,1.4
8,35.9681,128.5451,233.39999999999998
9,35.9681,128.5551,7919.46
10,35.9681,128.5651,22.5
11,35.9681,128.5751,33.3
12,35.9681,128.5851,32.0
13,35.9681,128.5951,2.6999999999999997
14,35.9681,128.6051,0.7
15,35.9681,128.6151,0.0
16,35.9681,128.6251,181.1
17,35.9681,128.6351,0.3
18,35.9681,128.6451,0.7
19,35.9681,128.6551,10.899999999999999
20,35.9681,128.6651,18.9
21,35.9681,128.6751,38.1
22,35.9681,128.6851,1.7
23,35.9681,128.6951,184.9
24,35.9681,128.7051,291.5
25,35.9681,128.7151,51.0
26,35.9681,128.7251,24.799999999999997
27,35.9681,128.7351,330.3
28,35.9681,128.7451,7.999999999999999
29,35.9681,128.7551,0.0
30,35.9581,128.4651,4.199999999999999
31,35.9581,128.4751,41.2
32,35.9581,128.4851,67.7
33,35.9581,128.4951,6.3999999999999995
34,35.9581,128.5051,2.0999999999999996
35,35.9581,128.5151,0.0
36,35.9581,128.5251,7.3999999999999995
37,35.9581,128.5351,10.6
38,35.9581,128.5451,9216.9
39,35.9581,128.5551,5287.17
40,35.9581,128.5651,13995.099999999999
41,35.9581,128.5751,4709.5
42,35.9581,128.5851,2.3999999999999995
43,35.9581,128.5951,0.0
44,35.9581,128.6051,12.2
45,35.9581,128.6151,1.5999999999999999
46,35.9581,128.6251,52.1
47,35.9581,128.6351,0.7
48,35.9581,128.6451,31.4
49,35.9581,128.6551,63.0
50,35.9581,128.6651,333.4
51,35.9581,128.6751,542.8
52,35.9581,128.6851,2539.2
53,35.9581,128.6951,94.0
54,35.9581,128.7051,172.4
55,35.9581,128.7151,4.499999999999999
56,35.9581,128.7251,1.4
57,35.9581,128.7351,0.0
58,35.9581,128.7451,1.0
59,35.9581,128.7551,0.3
60,35.9481,128.4651,6.8999999999999995
61,35.9481,128.4751,0.0
62,35.9481,128.4851,10.7
63,35.9481,128.4951,1.5999999999999999
64,35.9481,128.5051,4.6
65,35.9481,128.5151,0.3
66,35.9481,128.5251,9.299999999999999
67,35.9481,128.5351,7475.0
68,35.9481,128.5451,31466.7
69,35.9481,128.5551,144373.52
70,35.9481,128.5651,28819.0
71,35.9481,128.5751,2059.8
72,35.9481,128.5851,35.1
73,35.9481,128.5951,6.8
74,35.9481,128.6051,42.5
75,35.9481,128.6151,502.79999999999995
76,35.9481,128.6251,96.19999999999999
77,35.9481,128.6351,11926.5
78,35.9481,128.6451,4458.4
79,35.9481,128.6551,0.0
80,35.9481,128.6651,0.0
81,35.9481,128.6751,0.0
82,35.9481,128.6851,0.7
83,35.9481,128.6951,0.7
84,35.9481,128.7051,0.0
85,35.9481,128.7151,0.0
86,35.9481,128.7251,0.7
87,35.9481,128.7351,0.0
88,35.9481,128.7451,0.0
89,35.9481,128.7551,0.0
90,35.9381,128.4651,18.9
91,35.9381,128.4751,4.0
92,35.9381,128.4851,12.399999999999999
93,35.9381,128.4951,0.7
94,35.9381,128.5051,7.1
95,35.9381,128.5151,40.4
96,35.9381,128.5251,40.0
97,35.9381,128.5351,17539.1
98,35.9381,128.5451,80150.81999999999
99,35.9381,128.5551,59798.8
100,35.9381,128.5651,4761.8
101,35.9381,128.5751,0.7
102,35.9381,128.5851,46.599999999999994
103,35.9381,128.5951,1900.0
104,35.9381,128.6051,47.4
105,35.9381,128.6151,2.6999999999999997
106,35.9381,128.6251,90.1
