동인동,35.867884,128.609112
삼덕동,35.865560,128.608994
성내1동,35.868995,128.598058
성내2동,35.868356,128.590390
성내3동,35.872562,128.585649
대신동,35.867150,128.578910
남산1동,35.859379,128.590435
남산2동,35.864025,128.589517
남산3동,35.859899,128.585578
남산4동,35.858238,128.580495
대봉1동,35.861671,128.604381
대봉2동,35.858198,128.599704
신암1동,35.884270,128.616326
신암2동,35.880052,128.612716
신암3동,35.879638,128.623134
신암4동,35.884978,128.629290
신암5동,35.889844,128.632784
신천1.2동,35.874608,128.624878
신천3동,35.875363,128.623643
신천4동,35.871791,128.629263
효목1동,35.881614,128.644835
효목2동,35.877640,128.638069
도평동,35.910920,128.654035
불로.봉무동,35.886576,128.635483
지저동,35.899837,128.641892
동촌동,35.886879,128.649640
방촌동,35.884416,128.668160
해안동,35.882134,128.671663
안심1동,35.870397,128.702050
안심2동,35.875531,128.687078
안심3.4동,35.870472,128.710710
공산동,35.940185,128.644146
내당1동,35.860684,128.560726
내당2.3동,35.867262,128.574481
내당4동,35.858941,128.551867
비산1동,35.881231,128.568978
비산2.3동,35.875787,128.574687
비산4동,35.869814,128.574289
비산5동,35.886366,128.569624
비산6동,35.876346,128.569087
비산7동,35.888046,128.553509
평리1동,35.875642,128.563467
평리2동,35.871270,128.563746
평리3동,35.875914,128.561265
평리4동,35.867346,128.556665
평리5동,35.873818,128.548704
평리6동,35.875253,128.548259
상중이동,35.867999,128.544002
원대동,35.886830,128.574357
이천동,35.851507,128.602134
봉덕1동,35.845570,128.597904
봉덕2동,35.843860,128.601046
봉덕3동,35.842507,128.595822
대명1동,35.840328,128.576921
대명2동,35.855116,128.586639
대명3동,35.852368,128.579046
대명4동,35.845987,128.569523
대명5동,35.843240,128.587846
대명6동,35.835152,128.566081
대명9동,35.837289,128.579158
대명10동,35.840042,128.568883
대명11동,35.836161,128.560421
고성동,35.881908,128.583857
칠성동,35.879243,128.599863
침산1동,35.890358,128.581161
침산2동,35.887341,128.597177
침산3동,35.892201,128.589415
산격1동,35.892626,128.594669
산격2동,35.901800,128.609216
산격3동,35.893548,128.608444
산격4동,35.892406,128.604370
대현동,35.884266,128.608141
복현1동,35.893606,128.618381
복현2동,35.895417,128.625429
검단동,35.917235,128.622432
무태조야동,35.921366,128.597089
관문동,35.901680,128.542127
태전1동,35.924091,128.543244
태전2동,35.921506,128.548811
구암동,35.932244,128.567437
관음동,35.944682,128.540149
읍내동,35.959413,128.543275
동천동,35.939331,128.559286
노원동,35.890193,128.576042
국우동,35.948019,128.587701
범어1동,35.855533,128.622115
범어2동,35.860118,128.631263
범어3동,35.866200,128.617791
범어4동,35.858145,128.641257
만촌1동,35.872950,128.646935
만촌2동,35.859916,128.647194
만촌3동,35.855509,128.650480
수성1가동,35.854977,128.610928
수성2.3가동,35.854676,128.618820
수성4가동,35.862585,128.616113
황금1동,35.843984,128.638143
황금2동,35.841574,128.625172
중동,35.844687,128.612123
상동,35.833361,128.611549
파동,35.812464,128.614155
두산동,35.828357,128.620652
지산1동,35.825007,128.637161
지산2동,35.823172,128.628016
범물1동,35.817876,128.645957
범물2동,35.817492,128.643619
고산1동,35.837357,128.712340
고산2동,35.843515,128.695160
고산3동,35.844062,128.706434
성당동,35.844571,128.556307
두류1.2동,35.853715,128.555396
두류3동,35.853715,128.555396
감삼동,35.849176,128.540651
죽전동,35.854475,128.536923
장기동,35.845809,128.523580
용산1동,35.856591,128.531147
용산2동,35.858492,128.523298
이곡1동,35.851642,128.510688
이곡2동,35.855672,128.501679
신당동,35.856765,128.492452
본리동,35.839957,128.538231
월성1동,35.819585,128.522523
월성2동,35.831006,128.528287
진천동,35.812730,128.525665
상인1동,35.814004,128.545271
상인2동,35.812566,128.536231
상인3동,35.810151,128.550124
도원동,35.794903,128.557398
송현1동,35.829370,128.553378
송현2동,35.832822,128.545555
본동,35.833732,128.539639
화원읍,35.786488,128.512007
논공읍,35.751967,128.434020
논공읍공단출장소,35.751967,128.434020
다사읍,35.872454,128.466105
다사읍서재출장소,35.872454,128.466105
유가읍,35.683289,128.486998
옥포읍,35.768441,128.406240
현풍읍,35.688545,128.349012
가창면,35.757807,128.619440
하빈면,35.897973,128.429277
구지면,35.656487,128.402900
동인동1가,35.871874,128.603897
동인동2가,35.86957,128.604131
동인동3가,35.871487,128.609198
동인동4가,35.867841,128.609506
삼덕동1가,35.866598,128.598143
삼덕동2가,35.865391,128.60252
삼덕동3가,35.864553,128.608228
봉산동,35.863165,128.597386
장관동,35.868708,128.590634
상서동,35.870418,128.590081
수동,35.869495,128.589265
덕산동,35.866256,128.59401
종로1가,35.870157,128.591306
종로2가,35.868389,128.592067
사일동,35.869451,128.594879
동일동,35.869721,128.592734
남일동,35.869456,128.593853
전동,35.870768,128.592907
동성로3가,35.867394,128.593895
동문동,35.87201,128.59855
문화동,35.87172,128.597517
공평동,35.869408,128.598584
동성로2가,35.870085,128.595616
태평로1가,35.874432,128.597682
교동,35.873365,128.598543
용덕동,35.873962,128.596882
상덕동,35.873772,128.597839
완전동,35.872562,128.599381
도원동,35.87659,128.58325
수창동,35.874777,128.586395
태평로3가,35.876922,128.586665
인교동,35.872725,128.584362
서야동,35.873291,128.585755
서성로1가,35.872596,128.587084
시장북로,35.872222,128.582441
하서동,35.870247,128.58818
남성로,35.868224,128.589623
계산동1가,35.869243,128.586394
계산동2가,35.867397,128.589452
동산동,35.868286,128.584273
서문로2가,35.871044,128.586286
서성로2가,35.870196,128.587277
포정동,35.871921,128.594184
서문로1가,35.871579,128.588819
서내동,35.872829,128.58855
